date,fx_rate,DDR1_nominal_USD,DDR1_real_USD,DDR2_nominal_USD,DDR2_real_USD,DDR3_nominal_USD,DDR3_real_USD,DDR4_nominal_USD,DDR4_real_USD,DDR5_nominal_USD,DDR5_real_USD
2014-02-01,1.0,1.54,2.1352236284053716,1.8903265017667845,2.62095442335929,3.1712395759717316,4.396951736330567,9.0,12.478579646524897,5.99,8.305188009187127
2014-03-01,1.0,1.54,2.130872269391767,1.8764452296819787,2.596405912312853,3.1791448763250885,4.39892964762341,9.0,12.453149626315524,5.99,8.288262917958887
2014-04-01,1.0,1.54,2.1269073193835957,1.8610766784452297,2.5703490969605647,3.187897173144876,4.402832357794877,9.0,12.42997784055348,5.99,8.272840807212818
2014-05-01,1.0,1.54,2.1228674900176436,1.846203886925795,2.544965072401935,3.196367137809187,4.406145378581733,9.0,12.406368448155058,5.99,8.257127444938757
2014-06-01,1.0,1.54,2.120066601751036,1.8308353356890459,2.520449901623372,3.2051194346289753,4.412380953233801,9.0,12.38999962062294,5.99,8.246233080836824
2014-07-01,1.0,1.54,2.117683180489941,1.8159625441696114,2.497164504017992,3.2135893992932862,4.419067675249458,9.0,12.376070535330825,5.99,8.23696250073685
2014-08-01,1.0,1.54,2.118022066874421,1.8005939929328623,2.476427149683979,3.222341696113074,4.4318122203747015,9.0,12.378051040175189,5.99,8.23828063673882
2014-09-01,1.0,1.54,2.1178704464011253,1.785225441696113,2.4551144176179176,3.231093992932862,4.443531478686179,9.0,12.377164946500084,5.99,8.237690892170612
2014-10-01,1.0,1.54,2.1182896853809545,1.7703526501766786,2.4351427002312307,3.239563957597173,4.4560616340973995,9.0,12.379615044434148,5.99,8.239321568462284
2014-11-01,1.0,1.54,2.1222852272103907,1.7549840989399295,2.4185563812787993,3.2483162544169613,4.476528311725004,9.0,12.402965613567218,5.99,8.254862669474182
2014-12-01,1.0,1.54,2.128851903899226,1.7401113074204946,2.405480045323826,3.256786219081272,4.502088014989565,9.0,12.441342295514959,5.99,8.28040448334829
2015-01-01,1.0,1.54,2.1425003088431374,1.7247427561837456,2.3995207063627526,3.26553851590106,4.5431281031540145,9.0,12.521105701031322,5.99,8.333491461019737
2015-02-01,1.0,1.54,2.1370835634948286,1.7093742049469967,2.372126959256018,3.274290812720848,4.543787712966136,9.0,12.4894493970477,5.99,8.312422432035081
2015-03-01,1.0,1.54,2.131341831372682,1.6954929328621908,2.3465422159778844,3.282196113074205,4.54252069776875,9.0,12.45589381971048,5.99,8.29008933111842
2015-04-01,1.0,1.54,2.129122266342678,1.6801243816254416,2.3228507994441236,3.2909484098939927,4.549890608370344,9.0,12.442922335768895,5.99,8.281456087917299
2015-05-01,1.0,1.54,2.1221240416707103,1.6652515901060072,2.2947210615547644,3.2994183745583037,4.5466071793378395,9.0,12.402023620153502,5.99,8.254235720524386
2015-06-01,1.0,1.54,2.116266383906218,1.649883038869258,2.2672675406078224,3.308170671378092,4.546084664975272,9.0,12.367790555296079,5.99,8.231451714024834
2015-07-01,1.0,1.54,2.1129146256417153,1.6350102473498234,2.243270821233455,3.316640636042403,4.550505524604957,9.0,12.348202357646388,5.99,8.218414680255764
2015-08-01,1.0,1.54,2.1129235022034765,1.6196416961130742,2.222194159003906,3.325392932862191,4.562533040198617,9.0,12.34825423365668,5.99,8.218449206622612
2015-09-01,1.0,1.54,2.117683180489941,1.6042731448763252,2.206066399880712,3.3341452296819787,4.58484628195344,9.0,12.376070535330825,5.99,8.23696250073685
